Read	ReadCov:RAW	ReadCov:PHMM
030ed07b-f851-4b50-8d4b-b9870d8f992f	75.937	99.247
03116fad-e0eb-473e-a6ce-e9dd91bc41fd	77.524	99.482
03129724-f7a9-4d2f-a8ed-f2fc78862f42	72.990	99.561
031397c0-2a87-4aa4-bb00-72452f4ea4df	76.819	99.476
0317098e-ec14-4c7c-b32a-9d0039b11743	75.578	99.240
031eb868-8aa3-428c-ad1d-d23218019636	80.981	98.832
032548e3-7ddd-4f05-82fc-0f5aad9a5467	74.965	98.155
03271cf6-4353-4622-bc36-e8473a4277bc	75.894	99.135
032a4f2d-6d3f-457c-9ab8-060ddfc54680	82.484	99.871
03379cb3-1185-43a8-a1e6-81728c65d203	87.850	99.637
033b691c-9ec9-40e7-973f-9126e6bd0d10	72.500	98.594
033fd702-65ed-4da4-a68d-040454941772	78.979	99.254
0340f229-1c69-4b66-8569-00be6d39785e	76.453	98.872
03463ec7-fb62-41e1-80f0-545435e2616d	72.742	97.792
034da1a9-841c-4640-95d5-99ae8f16d394	71.256	96.107
034ed9fd-f162-4725-b936-c1502bebd713	79.665	98.521
035062dc-6f5b-4cf0-85f7-e30eb3240334	74.022	99.368
035a6318-f1b8-4cd2-be4b-fe741fad91d3	71.930	98.238
035ba86e-2c6e-44d6-9d8e-69f63f2506e9	72.896	94.455
035c50ac-b1b6-4b4e-842d-305f0ce4a403	79.802	99.536
035f169b-f2e3-4e68-a2c7-476f9cdd033c	75.519	99.454
036051fd-ea1c-4df0-aaa0-feac2bec8a55	75.848	97.557
03629c78-86bd-4df8-a33b-1df00feff6fb	72.477	97.925
03669f3f-1eec-469b-897b-83a198ce86c3	77.305	99.453
0367edef-a263-4460-abad-15a0698bb694	72.928	95.826
03688ac7-fe9d-495c-8120-16ad6733ae8d	74.308	99.380
036bc3f7-ff9e-4d93-8310-7131975958c7	88.231	99.307
036f566d-6260-4422-b485-ca51d7a8201b	72.471	96.674
03719cc3-bc2c-451b-a56b-278e656f37b4	70.652	93.814
037281b0-52f4-438b-8939-c1c3544abcad	71.783	94.297
03765e17-39a5-4470-a7c5-2e5dcbe1a2a1	80.150	99.626
037671bf-b9db-4f1f-b4fe-80c49394250c	76.839	99.292
03774649-2e6d-4c6e-8f2c-12feaa25a45a	77.341	99.130
037762ee-f609-4433-a742-e68bece96391	93.609	99.918
037a1839-9d4e-4153-b6ae-f7b1ab009a8b	76.346	99.263
037b46d0-422e-40a4-9d3e-fb5e7c8af25b	72.930	99.125
038032e2-5871-4371-8509-caa7717b920a	69.504	99.492
0383030b-1e17-4d5c-a1af-6e4937a18261	82.192	99.363
0384032b-4f06-43a1-8850-5f714d675e60	69.043	99.457
0388fc9c-1008-4fb8-b5ca-96e570bcfc3e	85.646	98.713
038b73d0-3a46-4498-9b09-283eb24befba	76.913	98.953
03946e6b-61c7-4fa7-b1b6-c917564d5c4c	87.415	99.066
0395edbc-9fa2-4a1b-b0aa-cf20952090ae	75.701	98.609
039d05f9-c9a4-4810-a53a-d6f620446f6d	82.646	98.705
039db663-72b0-4ba3-bff6-7777f5f0e015	79.799	95.935
03a7db98-b00f-4256-bf8b-59d5b8f55cfd	78.005	98.618
03aa9f08-13ed-4d9f-8734-e20f2808da55	71.955	95.940
03ac6feb-bcc1-4fab-8956-196ead716b7c	73.231	98.960
03b02883-82b8-4097-9eb5-235f43620f58	76.130	99.262
03b81f5a-f489-49e1-a736-9a5a5329256c	73.281	99.787
03bad890-2b5e-46fe-bf5c-a4a8b5ec8c66	84.862	98.859
03bbf2f4-7224-4b26-ad6e-6394c1a6f728	91.987	99.801
03be059d-3757-4599-9a37-6a8bd66cc767	70.736	97.414
03beeccc-e020-4280-b25e-f884cc9515b9	86.484	99.907
03bf9c87-50f8-4303-8456-f8e716ba975c	83.467	99.045
03c8a8da-b136-46cb-812e-f28b74547d34	77.600	98.291
03c9de4a-d9c6-4e0a-bb1e-706a897d35f1	76.054	98.763
03caae73-6c5b-486a-9bba-685257d1a4d4	74.465	98.236
03cc8c90-08a2-45a5-95ec-a3c950fd5d6d	77.212	98.294
03d502fe-9f61-478c-b0ce-9639f936d69f	90.048	99.212
03d75c59-4c7f-4033-bbe0-e8ef8f6a80ae	88.796	99.765
03d81fff-7105-42b0-b683-16054491ee8f	71.286	96.893
03d9a5ff-c0c7-4814-b5e9-e30e799bddd7	70.607	96.802
03dbaf6f-1a61-4cef-a843-484aa0b701ce	72.784	97.704
03dbb0ea-0107-4c10-aa24-989c94f8e36b	81.167	99
03e42e33-20ba-4054-aeda-6a99ca65eaf5	73.021	97.835
03ee6393-219e-4768-9ec1-795d93eddb1d	74.550	97.996
03ef03d8-92ff-4219-bffd-f557fa28a6d5	71.072	96.414
03f5772e-006e-48c6-877b-2832a067a4ba	92.608	99.654
03ffbd0c-99b4-4e7b-8189-556badf9b59d	77.236	99.650
0407a2d8-7763-4d1b-8c07-f17a6410f05d	73.900	98.980
040c4094-bf65-461f-87eb-20788eecbb65	73.585	98.943
0412642d-4f57-4b1f-964f-e88e733d9280	79.597	98.676
04169214-759d-416c-ae50-b17431c73601	82.147	98.849
041a5e94-81ab-4d59-8433-cb157bdbf10c	76.521	98.543
041c4b27-4205-499b-bb46-bb5412cda66e	72.441	97.872
0422add9-b7df-4e27-b68f-1a1f386b4629	81.161	99.709
04254534-5078-4e2d-8169-9bd20474bb08	76.774	97.701
04278627-a1ba-40ed-a674-c2cec8383c5e	82.118	97.225
0427eb6b-faa0-4a66-92fd-e6df3c030c75	78.353	99.494
042c2378-b61b-433a-ad17-84c8d6c6c773	87.147	99.583
042e3a7c-b49d-4c70-a48b-c322a5808343	74.103	99.370
042e8374-efe3-4b56-a9d4-731672f7de0f	71.611	98.896
042f466d-6fed-424d-9d99-5e0b3048a51f	59.483	97.857
04329b7e-ad7d-4096-ae6f-5a2acc538dcf	82.590	99.614
0433b32e-ea65-4545-afff-08ea33448e88	76.934	99.107
0433f81e-6f0f-446d-87d0-b94f6c9edb6f	76.471	99.304
043459f2-3759-45a2-b5e4-b8fa96ae2c69	69.778	98.218
043b2719-a672-489e-a173-a5cb928680cd	89.718	99.860
0440f9b9-0eef-4ed6-a5be-dc34c092ea66	75.489	97.665
0442b5e7-d999-4469-a3bd-29f81921e87c	70.840	96.963
044c12ff-7bba-421a-9ae0-702eeccd7fff	77.764	98.077
045316fc-ed62-43cb-a0f1-e07f57e54e60	72.862	98.884
045774bc-3464-40f2-9e15-bf7aefc44049	72.998	98.726
04587fd1-f0a1-4ed0-a140-d603beb3baab	74.693	99.591
045a4b3d-bff0-45fe-a13d-218dff78066f	79.619	99.110
045d7ab8-2f11-4d3c-9224-4b6a54de4a9a	78.779	94.755
04645073-7676-4e2a-8cf1-49d7719b334a	82.353	99.873
046972e2-02bd-492b-b7ed-bf0e87a7b9a9	78.691	98.261
046be754-bb68-488a-b681-0df5f6997587	90.058	99.614
046de3f1-28c0-4c5b-a124-dc22b07e75d5	71.895	98.876
046eda9e-7f71-48a0-9cdf-795d73180922	74.608	97.393
047444d3-314a-46b5-9098-c86478d6d2af	89.529	99.673
04776d03-52ed-41ea-bf82-c9d042d5ec37	76.934	99.622
0478b4c0-88fd-42b9-8238-bd6cd3956e48	74.294	98.872
047a9ca4-0d6e-45c5-b846-08dd9d286298	81.684	99.233
047c337a-b668-493e-ab4c-160df0127d5c	81.844	98.296
047cc2f6-4d12-46c6-9608-3735177a92aa	73.810	97.232
0480bd6a-ad22-4dd6-83d7-838214ce9f70	78.225	99.121
048ad74e-e18c-4710-a342-2db6151783d6	74.233	99.379
048b4c88-4039-4ece-a022-d2cbf301dfd6	71.310	94.343
048c504d-d6da-4ad4-842e-487bdf8ebaf2	72.609	99.335
048caaeb-0734-4ced-b10d-b77f09509122	79.879	99.697
048cfc6a-150d-4ea0-a1e2-cb871dd392ee	83.047	99.483
048f668b-25ce-470a-a573-e79696d9a3a3	92.286	99.699
0493ce87-ccf8-48ce-893b-605583c6d782	73.454	98.982
0495055f-b8a5-45ea-944e-201d55310806	84.464	98.954
049bad08-47a3-4cf7-ad35-21951c6a93d6	71.219	97.189
049e03ae-8257-4dd4-897c-938f37d066c4	75	98.768
04a7edcb-7d36-448e-acf3-a923066029f5	82	97.288
04aca4d4-6c3c-46fa-a60b-6a00e8aa6fce	84.645	99.776
04b107d0-cd52-4d55-9739-996a0980bddb	77.128	98.805
04b13cda-21ae-4e68-a5c4-8efd702649f1	73.246	99.777
04b69a43-ebbc-49c7-923b-5de81ae0f350	72.755	99.374
04b78d00-a8c0-4852-b20c-22d60256f770	75.193	98.387
04bd593b-e1ac-41a0-94a7-34f81c2ec1b5	92.403	99.852
04c01dc9-c460-4608-8a9e-3023cd429bbd	37.103	99.379
04c01dc9-c460-4608-8a9e-3023cd429bbd	37.335	99.379
04c0730e-73a2-439e-8e97-136ae155f58d	65.972	98.951
04c655df-1db3-4f7e-a7e3-63f1e4819ae0	75.493	99.351
04cbe15b-150e-42f0-a46b-6886998f5ef7	75.556	97.635
04d2a26c-ff27-40b3-80a5-236166297ae8	76.096	99.629
04d2c162-807b-4449-a3ac-aabe3870fbbc	87.459	99.814
04d49ff7-336d-4c03-ac46-89a1ab49f68a	76.494	99.309
04d58626-395e-49fc-bfd4-0305c5f71837	77.738	98.939
04dd9094-2801-46e1-add2-36e820bcd950	77.093	98.077
04e1b622-2d84-4d07-87a8-b78641066243	76.463	99.309
04e63f58-6254-4852-8776-e8bd7d99d53f	77.025	99.145
04e8bee7-1e12-4666-9793-74143dc54af0	76.779	98.451
04ea0b71-5b72-4353-a6a2-e2299117e931	76.393	98.785
04f1ecda-3533-40ec-bf1d-d32ddecdfd48	75.877	98.295
04f32f65-666b-4c26-b968-0aac71eafc52	81.740	98.521
04f6feca-8fc3-40a5-823d-8c2a2d0b234a	60.199	99.582
05007e14-b354-4fdb-bdd0-5b39f9d6fb58	87.326	99.901
0500b982-8759-45b9-ac2e-86b4f2ced172	75.376	98.569
05010960-1952-46bb-8023-d3d80a5a1ee3	73.120	99.345
050208c8-9217-40a6-9d78-f781c05435d2	74.468	99.190
05020cb3-39d4-4f6d-b3eb-d83bbcab219b	76.350	99.429
050442e9-44d3-4d40-8428-fb4d95f3e01b	77.687	99.302
050572b2-8410-4561-9297-644c1f362bc9	92.890	99.836
0507bd89-711a-4dd4-ad55-4e60ef6ae3f0	89.503	99.585
050ddd70-51bb-426b-b36f-d6246a30d129	76.419	98.131
05152da7-51e2-4c28-b6c3-bc133c61801d	86.114	99.610
05158288-b928-47a5-ae0a-39e5d26c473a	76.478	99.825
051af6a1-21c4-44db-836d-e7f65ee6e9b7	76.838	95.725
051b28b7-cd74-4771-87af-ed6e1590242d	86.656	99.732
051f11c3-39fc-48a6-8584-9b44e7c8fae7	76.032	99.476
0520cbbf-1f45-4977-9e17-e299e7f40f2b	79.643	99.076
05292421-20ee-4a96-bf9b-6a6cd3e96527	72.936	99.372
052a32c2-3bc8-44d5-bb0c-d2f00f23083d	75.785	97.148
052d94b3-fcec-481b-9b1a-8ddd1a0c3fac	79.831	98.606
052f0632-e968-4885-bb78-4a45598ebff5	77.038	99.123
0540fe7b-eae0-4f2d-8de5-080b93bb8e10	77.630	99.317
0541cda6-a798-4c85-b410-41f9047791c8	81.597	99.834
