Read	RefCov
115:1383|77564d31-ea60-4a4d-a315-f2eb65551431	99.538
107:1397|79d25cbc-ffa0-4e68-893b-ad59ebda99c6	99.385
121:1406|88706333-c2a5-40a4-be44-6e623f5c2f75	98.846
102:1400|50b40432-10fe-4ec9-819e-0ef81fc8183a	99.308
99:1356|a4676795-388c-46ac-977f-d3187ddebfc2	99.462
107:1388|2f7e01ef-cdec-481f-9d46-b6e9e3f8c49b	99.462
97:1383|3fd24ae8-7d4d-4989-aa76-91485128e6cd	99.308
113:1410|963aa83a-b77a-4906-bcf6-36f95790b41d	99
104:1389|58de578a-e018-4327-8156-5019188bd323	99.462
105:1405|f335b41e-6dff-472a-b770-8612a29b56b4	99.462
105:1385|d48f1333-3aa2-4071-9c58-7af3d2db9042	99.385
105:1392|aaad3af4-8808-4f80-a69a-ce2fd8715eaf	99.308
113:1412|036bc3f7-ff9e-4d93-8310-7131975958c7	99.308
108:1393|6f12db83-7e15-4fd3-a85b-150956b11b4c	99.308
108:1397|dbcb8602-608c-4555-ab7b-07e112fdb565	99.308
115:1403|0718edf3-e9fc-425a-927e-45a17363b937	99.385
105:1386|f408cbb4-2b88-4dae-a06a-e82dba664f43	99.308
118:1403|03946e6b-61c7-4fa7-b1b6-c917564d5c4c	98.846
105:1401|f2d8153c-b5e9-43d5-acf4-5cb06f911bab	99.385
102:1379|5ccd3d37-861f-4266-8a16-943f9cc27d0c	99.462
112:1410|ffc5d412-8ebf-453e-9cde-63abe5f2beb6	99.308
114:1398|652249c6-6b54-4e09-856e-9423f3eaf0bb	99.385
110:1388|ec558cce-62d1-43fa-95bd-74a7e2ad4a84	99.308
101:1386|2d6ba90b-03f1-45c6-a083-bacf005f894c	99.385
110:1366|b58fca1c-c202-43d7-bf5b-83a2f185fa94	98.154
103:1385|172401b3-f6f0-457e-be7a-11793adfc3d0	99.462
102:1400|7dd7d377-49d2-412d-b161-7d3d06729439	99.308
102:1241|cccd7888-e451-4ca0-ab6b-3353be4c5b70	98.462
114:1388|2745ec63-ed9f-4dfa-bf73-2e9f843ddd4b	98.769
88:1361|40e13334-2845-4422-ae36-ccc87be1f3a1	99.077
110:1389|61d3359c-07d5-4637-a1de-cd35343157d3	99.308
98:1371|fe80013e-ee9b-4f9a-bb63-edb853e064be	98.769
103:1372|709e0ad4-6f67-4062-bb44-977661836cc6	95.923
109:1379|257812a6-7bd8-4522-b5ff-c80d84de96ea	98.846
109:1365|49d05d69-260c-45bf-baeb-f5ae1a5233b4	98.769
112:1429|84f42446-76b3-410d-8974-fa1b78103a23	98.692
105:1395|4753fc5f-38f6-489b-a281-d7ad881f5d68	98.692
114:1410|db58f6e4-a06a-44b9-980d-9de7b327e7bc	98.615
96:1218|f821cc1f-6e8b-48a9-820b-edc2f74c0608	97.538
124:1384|52224d59-d8b3-4787-b220-2451625fc705	98.462
107:1406|8bb06594-2822-4610-b87a-fe7489fa5096	98.462
112:1413|1acf32db-2654-4c56-a9e9-1aea8aad2d8a	98.154
101:1326|2281a1e8-b9ee-43e1-9f81-807de3fac702	98.308
110:1421|82c469a7-0fe5-4211-b44d-86b6ab2bc750	97.846
99:1314|741a6de1-bf1e-46d3-a547-a4abb081caa2	96.846
116:1375|192394b5-7982-441b-bd20-a00eb41049fa	95.615
111:1283|95db347a-7329-4739-ab65-6945c93609c4	91.923
110:1433|4ca1782f-660a-45ad-a502-bf6925a51082	90.462
90:1369|6433b588-4ce4-4eca-adf1-2bebf45e5b06	88.462
111:1156|56780d0d-9abc-440c-a01e-18a988abddaf	80.308
115:1146|dddd33f0-5ebf-4ab7-b6c7-d0d452554290	80.462
103:1136|6b394f1c-84f9-4d77-b274-d2342fc39aa6	80.615
121:935|a1a1269d-f25c-48c8-b946-752e07fce6d5	68.231
104:878|51d6d373-b37a-4446-b02d-a3b3f34eeb42	66.923
116:904|393d9a23-1819-4dd6-9258-a446e667b4dc	52.385
129:804|993c0a23-3f7a-4b81-a8c5-60c20276a6cc	100
98:761|df2099c3-2a8a-42d0-8c53-206568938dae	100
114:772|29180a9e-f095-42e4-ab38-7400c8ce6b44	100
116:782|7e31e82c-0f99-4618-b5b1-5518532eb577	100
116:789|fae378f3-8935-4d08-a8a8-021170bf4fc5	99.851
116:788|9483133f-5579-4b00-9272-ee28bb5bfa54	100
104:767|8af030cf-0bdf-459d-80e5-02b6c48662d6	98.806
109:775|abe694b2-355f-4d9d-8a50-2683f9223428	99.701
112:780|a1e9e112-f4aa-4b23-8bdf-4d88282d2f61	100
103:772|e6aa0e53-7b39-405d-8726-09f5f50b1525	100
100:755|bf548a7b-1c6c-46e5-9898-3b77d5e8f508	99.701
108:779|47217708-69d7-4aeb-ac86-45040097f843	99.552
111:767|27a896d6-ff14-4255-968d-9432423810ae	100
111:777|76fc01f9-b3dd-4d69-a976-5e8da05c2c19	100
117:792|9d8d8f39-c395-4b9a-889c-c31ae6355b92	100
110:782|f2c28969-f293-4f8e-885a-3bf094fba4a7	100
137:807|3fd88ab4-941c-4abe-a8ae-59801f7d59ca	98.358
114:773|17933745-3f3e-4a14-b2aa-df4a037331ff	100
116:778|c34f291f-ee14-4619-8040-ef7035f85b22	100
109:431|1d901eff-60c1-4287-8764-3e21a105b4c7	48.209
101:756|238cbb90-204b-4ab8-bbca-0f45fae75231	100
117:784|2dc97520-6b48-4816-a915-ba2a356fd300	99.552
106:782|034ed9fd-f162-4725-b936-c1502bebd713	100
109:811|9747d4c0-6153-4c4a-b002-bbfc0fb3c152	100
117:763|7e5cfbdc-9275-400e-ab2c-d72097887cb1	95.672
116:790|85115291-0465-4324-8c9a-64c9cde126e6	100
114:780|d08506a5-2cb1-43dd-982d-75100d47d589	100
114:785|5ea5e48e-bc95-4407-ba1d-00101dc96cdf	100
101:429|2b6e25fc-98d8-4d12-8349-f8b13df05179	48.657
124:797|2306596c-d522-46bf-9ba6-a9cf544e3233	100
124:796|1f1ee77b-8747-4739-bf95-33066119d254	100
127:783|ba02c09a-1dd8-4122-b997-91d32dde1445	99.701
116:779|27cb9449-2a2a-48ac-b809-54b54fb9944d	100
113:767|2776c40f-0c7e-4ca5-9bf1-0e768b1ce971	100
101:769|f9094fb0-b012-444f-907f-fe8d962d4afa	99.701
105:777|f1aabe71-d774-4c54-a1da-f2c82a988687	100
110:779|ec79e523-3605-4ec7-a5b3-a2a8f27595c6	100
116:797|6d3a0edf-b9cb-4edd-889d-b62e505fdcc2	100
115:787|b2c2ecce-db94-4605-b472-d390e45ba818	100
110:774|4141c1d7-7532-44bf-9f30-2ff2e6afcff1	95.522
105:761|d9aa146a-44d9-4213-b0cc-16fdc4e95991	99.851
119:800|98e1e1dd-847b-46d3-b476-3939e5a514fd	100
116:795|2d184ebb-98fd-4adc-88b5-f974b84fa353	100
108:770|ab6a834c-311f-4d5c-b320-b67922757c5e	100
107:783|4549e3b2-ae90-4c81-bf89-1e3992c19c4a	100
97:775|beafda22-ecdb-4f14-8944-c536105e365d	99.403
102:767|f844da0e-fde2-4c04-a2d8-9a63770c8e02	99.701
102:668|6da0b5b2-a693-463f-8ba8-b4fdac2aff6f	99.701
98:771|a1d06315-400a-446a-9a5f-8a076750d158	100
110:735|99ee9157-5c64-4683-81d8-a345c5bc4bed	92.836
103:778|c7663b20-2587-4555-a968-958525ad79ec	98.358
104:771|ae894794-6c5d-44cb-8a1b-d8d76d697519	99.552
111:793|f1bfc02c-0454-4108-9f6b-abdefb39bafd	100
110:784|14710dbe-9660-4f03-81df-d7ff7a1d6c73	100
103:766|b0b946d1-54ec-4109-9dc0-3fd1b8073c36	100
99:773|74f66761-f758-433b-a2aa-48b76f017399	100
111:776|3a211176-fea4-49c1-a0c9-74c8f44437a9	100
114:774|5aa9c582-80ed-44e5-9ab1-e2924e3f40fd	97.612
118:795|771ff4ec-e8c9-4e3d-ba99-07c032d59321	100
116:773|b123f946-c3ed-4f94-993a-0e8a670edd5b	98.657
107:769|5a66b4f4-4da0-4b6a-8f75-57c923802551	100
106:777|efb15124-3d70-412e-a025-5b9de39020df	100
115:784|48f06b2d-bf7d-4e13-9ea9-8af3fbcbde8e	99.254
110:794|b607fec5-995e-4f53-b2ad-755cbfc5244b	99.851
110:771|40ed6988-2b2f-418f-9864-264d62304b21	99.701
113:787|09445c42-05fe-494b-ae9a-54b885cb136b	99.254
108:779|c90f9062-bf69-474d-9d72-b0cdf85f04b7	100
