Read	RefCov
a50f5b06-1e12-49b5-9868-500cfcb5237e	99.923
13d8fd87-02bf-49f0-9ee1-eca792e93038	100
f89ac79d-7225-460e-8c3a-739488f532f4	100
f1b0df5c-ae82-4c5e-98f1-d2e5c80808de	100
9d834090-3c14-4eb6-b209-00948bcfeaf1	100
7eb205dd-0b20-4338-9fcb-6ec471e6ce51	99.846
d61d7c6f-2064-4179-aea3-f4f39a29c01f	100
53e1ffb1-73dc-408e-9ef3-1ebfba30ce2f	100
564eae0c-15c3-4e91-9709-c7a201eacd9e	100
40d1ad00-516a-4eda-ad1b-9b9b1bbeca99	100
c89107f0-69be-42aa-86ad-aca24bd473bd	99.923
fc1d0f8b-40e9-4a28-83fd-6c2bac35d9f3	99.308
5cfdf649-2c91-4fdb-814e-bedd50fd941e	99.769
a4c76eb1-cb2a-4e2c-a502-fe772751933b	99.846
ddcd95e8-9e30-4281-8a75-3e6fcbff911c	100
89a56536-1ca4-40e5-8b10-9f59d990815b	98.615
9a5cf087-0536-4f89-b046-0b09b2854cf7	100
31b269e9-eba6-432b-b046-023fc763c069	99.692
3802da9d-ca8a-48d6-9e47-30f7d5921a6a	99.692
230ddcfa-8dec-49e9-aff5-23fbc79ef263	98
627db957-40af-44be-a633-1ce039f32d00	100
5bee1f58-ff5d-40ae-ad07-380c491e30ba	100
410aaea3-5318-4bf9-a37d-dedb7c13d9d5	99.923
5df208db-87dc-4093-8255-3adcbe1a5f8b	99.846
52d235db-dd32-41d9-8b17-1289df47155d	99.846
9515eb2d-8790-4246-86d1-78a838b2ee9b	100
b4103a5d-55f4-40f8-b9ce-c493a3ff541a	99.846
b4ca1dcb-a03d-48df-b520-50a76e9aa64b	99.308
d1c716d4-e137-455a-a3fb-23a49b9042c7	99.846
b71ca9df-c1a0-46a4-b7b1-2466e99e6146	99.846
ce6ef730-b512-4ee8-9f1b-5f50a9c0ec9e	99.923
45f425ef-1654-4613-9431-f6803032f66e	99.923
e4123495-9bcb-495e-940e-8f1c1cea4813	99.769
3d735c09-f51d-4469-b3f7-c764be933e4b	98.462
0f920cea-b6e4-44e6-a300-1616910e5e17	99.846
53f91652-9452-4391-b03e-427473b40644	99.692
7d596fa2-e51f-4814-b2b0-3a2d6407edb8	99.846
d10b3e81-9998-4642-ba6e-810ca48a3aaa	99.846
4436efd0-310f-49bf-bd6b-dcc3ff8a1908	99.846
5a197046-4319-4f9d-9db3-044cb3c1c9ef	99.846
148c1f3a-fb7f-43c2-b9ee-79bfc1e485b5	99.154
78b43774-5ecc-4904-8128-14a0b220eaf5	99.846
d9403b51-607d-4240-9d36-9c5e6a24c492	99.692
f159ee40-f119-4c5b-bfde-5f5c050afbdd	99.769
5394718d-5082-41d7-98f4-3e7dd184851a	99.846
18d3cfc3-d959-4c03-9d72-ad883d65cc73	99.769
89f942b3-00f2-41dd-b928-00ff1a3bc0bc	99.769
bafcf559-b1dd-4a77-b772-027f72507c13	99.692
3b5004c0-7c0c-47f1-8c4a-f9ed2f8e26bd	99.769
572a19f1-5211-439f-bb53-77aa3c8524fb	99.769
ad1bf634-d0fc-4666-a902-db3be8a4c633	99.692
f6a1ee17-a7c4-4bf9-aafc-d94d6a397a1c	99.769
b1026d85-6a2e-48f9-86b8-ff562be79aab	99.769
6860ae04-b7ff-4bf6-8c6a-9679b647ea2e	99.308
69998907-fe70-4e58-9fe1-2853798420f5	99.769
c3c092a2-6f32-4a92-a50d-e47832d63700	98.923
a6ac33ca-70c7-4b8f-be88-54d195443ce7	98.077
3a2f098d-5a3d-42eb-b674-8100839dc9a8	99.692
7fce8d26-daf0-46a8-897b-c2f6ad0c465f	99.692
32147e42-986e-4b35-9a4b-555d0561dc9b	99.692
601e4bde-71e9-4a0d-9d60-09b36fe25829	99.462
239bf8b4-8bb2-48d2-8de6-e8da770dccf2	99.692
6c698a71-0818-42d5-a777-26cee08f7a92	99.385
f1a81a55-1872-4062-a8b2-013e75ad1ace	99.615
cda6c469-b5f4-4d16-8428-3ed10ec61b93	99
c13f23e0-5367-4edc-8bcc-fe95fccee75f	99.692
55e2d12d-3c27-40d3-b56a-47b484be8de1	99.385
0ad03341-7c34-44b4-a22c-558450ebf260	89.154
5b764140-83e1-4380-866a-1c6854cfa3bc	99.231
77564d31-ea60-4a4d-a315-f2eb65551431	99.538
79d25cbc-ffa0-4e68-893b-ad59ebda99c6	99.462
88706333-c2a5-40a4-be44-6e623f5c2f75	98.846
2f7e01ef-cdec-481f-9d46-b6e9e3f8c49b	99.462
3fd24ae8-7d4d-4989-aa76-91485128e6cd	99.308
58de578a-e018-4327-8156-5019188bd323	99.462
9ec54127-e881-4b0e-a990-3cf37ff8b09e	98.385
ffc5d412-8ebf-453e-9cde-63abe5f2beb6	99.308
2d6ba90b-03f1-45c6-a083-bacf005f894c	99.385
172401b3-f6f0-457e-be7a-11793adfc3d0	99.462
ec558cce-62d1-43fa-95bd-74a7e2ad4a84	99.308
2745ec63-ed9f-4dfa-bf73-2e9f843ddd4b	98.769
cccd7888-e451-4ca0-ab6b-3353be4c5b70	98.462
40e13334-2845-4422-ae36-ccc87be1f3a1	99.077
7c723b0c-1c48-448b-9e50-d049765a069b	99.308
a7c41e0b-5321-4c5f-ad6c-c64d805fdd4b	97.846
61d3359c-07d5-4637-a1de-cd35343157d3	99.308
fe80013e-ee9b-4f9a-bb63-edb853e064be	98.769
709e0ad4-6f67-4062-bb44-977661836cc6	95.923
fdaf7ea1-dd1e-40e4-a094-022a429e28c7	98.308
7d45124a-2035-4f53-acf2-e5d88987607c	99.077
559513f0-cadf-4403-aa43-8a9a63d7a937	98.923
257812a6-7bd8-4522-b5ff-c80d84de96ea	98.923
49d05d69-260c-45bf-baeb-f5ae1a5233b4	98.923
84f42446-76b3-410d-8974-fa1b78103a23	98.692
4753fc5f-38f6-489b-a281-d7ad881f5d68	98.692
db58f6e4-a06a-44b9-980d-9de7b327e7bc	98.615
f821cc1f-6e8b-48a9-820b-edc2f74c0608	97.538
8bb06594-2822-4610-b87a-fe7489fa5096	98.462
52224d59-d8b3-4787-b220-2451625fc705	98.462
1acf32db-2654-4c56-a9e9-1aea8aad2d8a	98.154
2281a1e8-b9ee-43e1-9f81-807de3fac702	98.308
82c469a7-0fe5-4211-b44d-86b6ab2bc750	97.846
741a6de1-bf1e-46d3-a547-a4abb081caa2	96.846
192394b5-7982-441b-bd20-a00eb41049fa	95.615
2a9f0e5f-7572-49ff-831d-f464134a68fb	88.462
95db347a-7329-4739-ab65-6945c93609c4	91.923
4a833302-af2b-4f4b-8be6-b639d9edf8f6	91.231
4ca1782f-660a-45ad-a502-bf6925a51082	90.462
6433b588-4ce4-4eca-adf1-2bebf45e5b06	88.462
db6d8c9b-8a34-4c4e-acdf-d68f3065b77a	86.615
56780d0d-9abc-440c-a01e-18a988abddaf	80.308
dddd33f0-5ebf-4ab7-b6c7-d0d452554290	80.538
6b394f1c-84f9-4d77-b274-d2342fc39aa6	80.692
a1a1269d-f25c-48c8-b946-752e07fce6d5	68.308
51d6d373-b37a-4446-b02d-a3b3f34eeb42	67.308
93a35dfa-4cec-4a8e-ba8e-3856548d08d1	55.615
393d9a23-1819-4dd6-9258-a446e667b4dc	52.385
95d6ffac-dcd0-4cb6-885f-b5b66cbb705f	52.308
b149f22d-80fa-4378-828b-1f715dd58ef0	100
9855e10e-60fe-45dc-b5dd-b0182b30e62e	100
375f307b-2148-45d9-a40b-d77e0be55351	100
bf46ceee-850e-4026-b18a-9cf54e7e83ba	100
9483133f-5579-4b00-9272-ee28bb5bfa54	100
627e91fc-212b-4d78-8e02-3ae28c0b82e9	99.851
abe694b2-355f-4d9d-8a50-2683f9223428	99.701
e6aa0e53-7b39-405d-8726-09f5f50b1525	100
a55ebb2b-b022-4860-a262-f2fe8ed3ad4d	100
52b2f019-86c0-4440-8a55-64b24ed87bf0	100
4ef1f133-b235-41c2-8eff-5334d5d6637a	99.851
989bf3e3-7e41-4d46-858b-711666c98184	98.507
906d7aa9-447b-414d-b82f-7deec70d7067	99.104
2dc97520-6b48-4816-a915-ba2a356fd300	99.552
528045c9-906b-429a-8056-567e350a258e	100
9747d4c0-6153-4c4a-b002-bbfc0fb3c152	100
f811dce4-d39f-4ad3-b13c-38f879932dc3	99.701
2b6e25fc-98d8-4d12-8349-f8b13df05179	49.104
47b0421e-6117-4bd5-b936-e669c8a36a17	98.657
f9094fb0-b012-444f-907f-fe8d962d4afa	99.701
eeda232c-4ebd-49f5-9d8f-a10be73fdef4	100
f8c793de-df1e-42ca-a7fb-76fc05928fa0	100
d9aa146a-44d9-4213-b0cc-16fdc4e95991	99.851
ad0f4c52-a566-4980-b689-b7041110ee77	99.851
7c57a86f-a28c-4bae-96c8-c2609b44cea8	100
edbfe02b-7e94-4b42-bfb3-242d81b86593	100
4549e3b2-ae90-4c81-bf89-1e3992c19c4a	100
b65520fa-585f-4d74-abc9-a9a57fa358c3	99.701
f844da0e-fde2-4c04-a2d8-9a63770c8e02	99.701
84edc041-f8c7-433c-9135-61abd75220f3	100
c7566874-2126-45e1-aad0-de18ba030d97	99.552
b0b946d1-54ec-4109-9dc0-3fd1b8073c36	100
c407d048-ff07-4494-84ce-4925ca99dd80	100
80c2568c-71bc-4463-a87a-90707d1542c5	100
be057005-2d2f-4869-81c9-cb0a4c912b4a	99.701
a351ed3d-d31c-4cdc-8ff4-0dc61aa1d9b9	100
6199d075-eb06-4431-b0f0-b93727124178	99.701
7711e8c8-5f22-43bd-86da-5f0a5e98bb66	100
853f3894-a400-4328-883a-4c6240d60c03	99.552
6dfde556-bf5b-432f-bafe-87bdaef5d399	99.403
3d7f57b1-2f61-4a26-9a2d-544366f33fc3	100
4c11147c-b515-4e74-8b8a-2af1181afef0	100
1165d63b-55b1-4b1e-9024-79127be7285c	99.851
579af82c-4901-4fa1-bfda-662aef329076	100
1c6216b0-837a-48a1-9e97-f11c1201bcce	99.851
08f1c91d-9d6c-40a3-b714-5f03f553cb65	99.552
f8aaeead-a1c8-45a7-8097-bf19c3d5f30e	99.552
d6809389-d2c6-48e3-94a9-e27d15798f55	99.851
ff958a03-6dd9-4db8-aca7-4f8481f983a1	97.910
e70e792e-4e43-478d-9a33-f767ba364486	100
3aecbc41-9d99-47b6-8913-e53832ee8778	99.851
bbd92504-3aca-4b00-8e79-629b6843c02f	100
d39a5054-2080-4d1e-9609-5ae8fd071c3e	100
a1b52e99-d6ed-4884-b915-b3d7e248a973	19.701
6513704d-d7e6-475c-8c97-3522d22ed329	99.851
ec6adc4f-37d3-4b95-9c0d-06f3226a4556	99.851
9b061fff-2eaf-48ed-9557-4635ad7363bf	100
8685387b-b9e9-4333-818f-2f7231d3f014	100
a3b748b9-0fb0-4813-bc33-8eff8dbda216	100
69018e1b-40db-4011-9e48-f1fb398cd4e1	100
6d6bdec6-1562-4dd3-9a4b-ca7f25811f67	99.851
96be9298-0614-4032-8f85-21f2b756b45e	100
14da4542-daa8-4968-8b3e-a4f5d2fe6e16	99.851
cc876dce-2eb5-4597-a40b-f8625b8733b1	100
b8f18fe1-3c24-46a0-b581-abdce940d014	98.657
75c43cd9-f5c7-4ed5-be68-4eef4a339a8e	99.851
f5e41b25-e1ca-44c7-8c37-fe9cd3b0beac	100
97c7c41e-c98d-4f12-ba52-213a7fae3e06	100
5f04f5b0-f003-440f-8c10-f3a64da12fe2	93.731
033fd702-65ed-4da4-a68d-040454941772	100
fb587c44-04ce-4dc1-8663-f30b92cd5af9	100
6c0c7795-4525-4ca5-9279-5c367e0d93b7	100
e1374cd4-85ca-4896-9780-a8571be9791d	99.701
2b8a7e21-21a1-405b-94ca-e2e780fe1856	99.403
a7b01e15-c922-409f-88f1-60c38cba9e0c	27.164
b4536fee-633c-4398-b02e-e3d340a6f160	100
04f4ef84-0a48-4456-99f7-aedee6030218	99.701
6a07573c-4211-4d2d-9ff8-b4ef3762dfd7	100
7cac20a4-484c-413b-8747-2d54ea2efdbb	99.552
d2467762-75be-476d-bc8d-9177b48d5ae0	100
d4b99f85-2d91-4f9a-8d93-5f57349cb4fd	100
67ca47ce-105a-453b-89ee-8dec14929330	100
3f98d887-b94e-42c2-ab79-e3973fb527f9	13.731
18aaa469-fed4-4639-ba3d-ee00d6333317	100
1fb85538-ddfc-448b-b10b-cd0ac7463e6a	100
4bb335e4-ba72-45d1-9aab-7064a6ec89b0	96.716
